file,param,F1,F2,F3,error,file_name,id,group,label,max_formant,speaker_num,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context
/Users/stellatakvoryan/Documents/ASC/FAVE files/bat-W6_param.csv,1,-23.5573643862852,0.4967272556228013,10.557051270472408,0.00106981999278304,bat-W6,0-0-1-1,group_0,ae,5512.820512820513,1,2,bat,1,0.15000000000000002,NA,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/bat-W6_param.csv,2,7.517217129480093,-4.579949133326154,10.311122807767852,0.00106981999278304,bat-W6,0-0-1-1,group_0,ae,5512.820512820513,1,2,bat,1,0.15000000000000002,NA,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/bat-W6_param.csv,3,-6.031985080974726,-13.061903762397929,-6.700812836178537,0.00106981999278304,bat-W6,0-0-1-1,group_0,ae,5512.820512820513,1,2,bat,1,0.15000000000000002,NA,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/bat-W6_param.csv,4,0.9458768142771352,-0.7826007317348294,1.7888409945911077,0.00106981999278304,bat-W6,0-0-1-1,group_0,ae,5512.820512820513,1,2,bat,1,0.15000000000000002,NA,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/bat-W9_param.csv,0,465.9704901255381,1143.7511067841722,1597.6150082069817,1.968006533941e-4,bat-W9,0-0-1-1,group_0,ae,6230.7692307692305,1,2,bat,1,0.09999999999999998,NA,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/bat-W9_param.csv,1,-21.620585841945303,9.481571693572889,16.9623691138495,1.968006533941e-4,bat-W9,0-0-1-1,group_0,ae,6230.7692307692305,1,2,bat,1,0.09999999999999998,NA,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/bat-W9_param.csv,2,-5.854992056745454,-10.989571607352271,-17.66740756232956,1.968006533941e-4,bat-W9,0-0-1-1,group_0,ae,6230.7692307692305,1,2,bat,1,0.09999999999999998,NA,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/bat-W9_param.csv,3,-0.5920272697180253,2.2937166358921433,3.151568514370551,1.968006533941e-4,bat-W9,0-0-1-1,group_0,ae,6230.7692307692305,1,2,bat,1,0.09999999999999998,NA,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/bat-W9_param.csv,4,-1.9410676130509528,-3.979864563271541,-7.571095773078078,1.968006533941e-4,bat-W9,0-0-1-1,group_0,ae,6230.7692307692305,1,2,bat,1,0.09999999999999998,NA,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/beat-AC_param.csv,0,230.81167857267295,1445.1847846522996,2130.5900956797827,4.7261805342993e-4,beat-AC,0-0-0-1,group_0,iy,4974.358974358975,1,1,beat,1,0.19,#,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/beat-AC_param.csv,1,33.40708350933872,-59.83224967491364,-116.19512836637692,4.7261805342993e-4,beat-AC,0-0-0-1,group_0,iy,4974.358974358975,1,1,beat,1,0.19,#,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/beat-AC_param.csv,2,-2.6409731505809293,-32.12511487590185,-31.580171942002018,4.7261805342993e-4,beat-AC,0-0-0-1,group_0,iy,4974.358974358975,1,1,beat,1,0.19,#,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/beat-AC_param.csv,3,3.0660969830607674,-13.9295713001062,-35.81561114279656,4.7261805342993e-4,beat-AC,0-0-0-1,group_0,iy,4974.358974358975,1,1,beat,1,0.19,#,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/beat-AC_param.csv,4,2.7933210103921855,-8.375671104282938,-9.415188341481093,4.7261805342993e-4,beat-AC,0-0-0-1,group_0,iy,4974.358974358975,1,1,beat,1,0.19,#,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/beat-KL_param.csv,0,195.41377316445636,1600.1088620255634,2019.5494942265448,8.9794896358726e-4,beat-KL,0-0-1-1,group_0,iy,6769.2307692307695,1,2,beat,1,0.15999999999999998,NA,NA,B,T,B,TRUE,internal
